priority_rank,cohort_month,rfm_segment,priority_tier,recommended_journey,buyers,target_customers,repeat_buyers,repeat_buyer_rate,completed_orders,merchandise_gmv,target_customer_gmv,average_customer_gmv,average_recency_days,average_review_score,cohort_buyer_share,cohort_gmv_share,observable_followup_months,targeting_eligible,evaluation_eligible
,2018-05,loyal,2,loyalty_reinforcement,27,27,27,1.0,55,2007.87,2007.87,74.36555555555555,80.96296296296296,4.413580246913581,0.004150015370427298,0.002083103188092908,3,False,True
,2018-04,champions,3,vip_advocacy,95,95,95,1.0,197,32815.27,32815.27,345.42389473684204,97.63157894736842,4.2105263157894735,0.014433302947432392,0.03410352981568147,4,False,True
,2018-04,loyal,2,loyalty_reinforcement,34,34,34,1.0,68,2249.11,2249.11,66.15029411764706,102.52941176470588,4.227941176470588,0.005165603160133698,0.002337405419603354,4,False,True
,2018-03,loyal,2,loyalty_reinforcement,56,56,56,1.0,112,6748.21,6748.21,120.50375,143.85714285714286,3.8169642857142856,0.008266902863891349,0.007126626377698071,5,False,True
,2018-02,champions,3,vip_advocacy,86,86,86,1.0,189,28442.170000000002,28442.170000000002,330.7229069767442,105.15116279069767,4.019767441860465,0.013676844783715014,0.034363266267291435,6,False,True
,2018-01,champions,3,vip_advocacy,75,75,75,1.0,161,22447.69,22447.69,299.3025333333333,103.33333333333333,4.266666666666667,0.010961707103186204,0.024356177999811313,7,False,True
,2017-12,champions,3,vip_advocacy,47,47,47,1.0,100,13090.26,13090.26,278.516170212766,102.82978723404256,3.854609929078014,0.008804795803671788,0.018142534622794262,8,False,True
,2017-12,loyal,2,loyalty_reinforcement,86,86,86,1.0,176,21529.87,21529.87,250.34732558139532,224.19767441860466,4.2480392156862745,0.01611090295991008,0.029839469338214783,8,False,True
,2017-11,champions,3,vip_advocacy,40,40,40,1.0,85,14195.84,14195.84,354.896,90.9,4.5375,0.0056657223796034,0.014310555559951909,9,False,True
,2017-11,loyal,2,loyalty_reinforcement,79,79,79,1.0,171,22120.35,22120.35,280.0044303797468,209.08860759493672,4.071518987341772,0.011189801699716714,0.022299102954145875,9,False,True
,2017-10,champions,3,vip_advocacy,48,48,48,1.0,110,16493.58,16493.58,343.61625000000004,86.27083333333333,4.544097222222223,0.011090573012939002,0.025294803768423628,10,False,True
,2017-10,loyal,2,loyalty_reinforcement,31,31,31,1.0,65,6528.41,6528.41,210.59387096774194,189.90322580645162,4.080645161290323,0.007162661737523105,0.01001206832414882,10,False,True
